CMPL123__Apply_To_Automated_User__c,CMPL123__Are_Child_Files_Locked__c,CMPL123__External_Id__c,CMPL123__Is_Record_Lock_Required__c,CMPL123__Is_Related_Lists_Locked__c,CMPL123__Object_Related_List_Relationship__c,CMPL123__Parent_Workflow_Step__c,CMPL123__WF_Locked_Fields__c,Errors,Id,Name
true,false,a1K9O000000OZ33UAG,false,false,,a1L9M000000nUwEUAU,,,a1K9M000000NWf7UAG,Automated Process User
true,false,a1K9O000000OZ4fUAG,false,false,,a1L9M000000nUwFUAU,,,a1K9M000000NWf8UAG,Automated Process User
